STAT_ID,STAT_REG1,STAT_HS,STAT_REG2,STAT_REG3
US,탄소합금후판(Carbon and Alloy Steel Cut-to-length Plate),"7208403030,7208403060,7208510030,7208510045,7208510060,7208520000,7211130000,7211140030,7211140045,7225401110,7225401180,7225403005,7225403050,7226200000,7226915000,7208406060,7208530000,7208900000,7210703000,7210909000,7211191500,7211192000,7211194500,7211196000,7211197590,7211900000,7212401000,7212405000,7212500000,7214100000,7214300010,7214300080,7214910015,7214910060,7214910090,7225110000,7225190000,7225405110,7225405130,7225405160,7225407000,7225990010,7225990090,7226111000,7226119060,7226191000,7226199000,7226910500,7226911530,7226911560,7226912530,7226912560,7226917000,7226918000,7226990180",상계관세(규제중),한국
US,도금강판(Certain corrosion-resistant steel products),"7210300030,7210300060,7210410000,7210490030,7210490091,7210490095,7210610000,7210690000,7210706030,7210706060,7210706090,7210906000,7210909000,7212200000,7212301030,7212301090,7212303000,7212305000,7212401000,7212405000,7212500000,7212600000,7210901000,7215901000,7215903000,7215905000,7217201500,7217301530,7217301560,7217901000,7217905030,7217905060,7217905090,7225910000,7225920000,7225990090,7226990110,7226990130,7226990180,7228606000,7228608000,7229901000",반덤핑(규제중),"중국, 인도, 이탈리아, 한국, 대만, "
US,열연강판(Hot rolled steel flat products),"720810,720825,720826,720827,720836,720837,720838,720839,720840,720853,720854,720890,721070,721090,721114,721119,721190,721240,721250,721491,721499,721590,722511,722519,722530,722540,722599,722611,722619,722691,722699,722860",반덤핑(규제중),"호주, 브라질, 일본, 한국, 네덜란드, 튀르키예, 영국"
US,탄소합금후판(Certain carbon and alloy steel cut-to-length plate),"720840,720851,720852,720853,720890,721070,721090,721113,721114,721119,721190,721240,721250,721410,721430,721491,722511,722519,722540,722599,722611,722619,722620,722691,722699",반덤핑(규제중),"오스트리아, 벨기에, 프랑스, 독일, 이탈리아, 일본, 한국, 대만"
US,페로바나듐(Ferro-Vanadium),7202920000,반덤핑(규제중),한국
US,폴리에스테르 단섬유사(Polyester staple fiber),550320,반덤핑(규제중),"한국, 대만"
US,풍력타워(Utility Scale Wind Towers) ,"7308200020,8502310000",반덤핑(규제중),"한국,캐나다,인도네시아,베트남"
US,합성단섬유(Fine denier polyester staple fiber),5503200025,반덤핑(규제중),"한국, 중국, 인도, 대만"
US,유정용강관(OCTG; Oil Country Tubular Goods),"730429,730520,730629",상계관세(규제중),"한국,러시아"
US,고흡수성 수지(Certain Superabsorbant Polymers: SAP),"3906905000,3609909000,3906100000",반덤핑(규제중),한국
